"Date","Price","Open","High","Low","Vol.","Change %"
"2007-12-01","0.9967","0.9996","1.0250","0.9757","","-0.34%"
"2007-11-01","1.0001","0.9431","1.0017","0.9058","","5.95%"
"2007-10-01","0.9439","0.9932","1.0019","0.9420","","-4.80%"
"2007-09-01","0.9915","1.0556","1.0593","0.9912","","-6.09%"
"2007-08-01","1.0558","1.0667","1.0867","1.0462","","-1.08%"
"2007-07-01","1.0673","1.0634","1.0703","1.0340","","0.19%"
"2007-06-01","1.0653","1.0701","1.0761","1.0474","","-0.49%"
"2007-05-01","1.0705","1.1101","1.1171","1.0665","","-3.49%"
"2007-04-01","1.1092","1.1521","1.1601","1.1048","","-3.82%"
"2007-03-01","1.1532","1.1696","1.1827","1.1498","","-1.35%"
"2007-02-01","1.1690","1.1763","1.1877","1.1559","","-0.60%"
"2007-01-01","1.1761","1.1662","1.1854","1.1625","","0.92%"
"2006-12-01","1.1654","1.1408","1.1673","1.1372","","2.09%"
"2006-11-01","1.1415","1.1226","1.1496","1.1209","","1.69%"
"2006-10-01","1.1225","1.1179","1.1417","1.1145","","0.38%"
"2006-09-01","1.1182","1.1045","1.1298","1.1030","","1.33%"
"2006-08-01","1.1035","1.1322","1.1374","1.1033","","-2.49%"
"2006-07-01","1.1317","1.1149","1.1460","1.1040","","1.30%"
"2006-06-01","1.1172","1.1008","1.1292","1.0957","","1.44%"
"2006-05-01","1.1013","1.1179","1.1279","1.0931","","-1.41%"
"2006-04-01","1.1170","1.1683","1.1774","1.1159","","-4.39%"
"2006-03-01","1.1683","1.1371","1.1752","1.1297","","2.79%"
"2006-02-01","1.1366","1.1393","1.1614","1.1347","","-0.27%"
"2006-01-01","1.1397","1.1654","1.1801","1.1371","","-1.96%"
"2005-12-01","1.1625","1.1658","1.1757","1.1422","","-0.28%"
"2005-11-01","1.1658","1.1817","1.1981","1.1636","","-1.34%"
"2005-10-01","1.1816","1.1622","1.1925","1.1618","","1.57%"
"2005-09-01","1.1633","1.1883","1.1946","1.1582","","-2.12%"
"2005-08-01","1.1885","1.2226","1.2263","1.1831","","-2.77%"
"2005-07-01","1.2224","1.2254","1.2483","1.2020","","-0.25%"
"2005-06-01","1.2255","1.2547","1.2596","1.2233","","-2.29%"
"2005-05-01","1.2542","1.2593","1.2736","1.2355","","-0.39%"
"2005-04-01","1.2591","1.2104","1.2623","1.2061","","4.12%"
"2005-03-01","1.2093","1.2337","1.2496","1.1975","","-1.95%"
"2005-02-01","1.2334","1.2403","1.2586","1.2233","","-0.57%"
"2005-01-01","1.2405","1.2020","1.2471","1.1944","","3.13%"
"2004-12-01","1.2029","1.1864","1.2468","1.1793","","1.46%"
"2004-11-01","1.1856","1.2184","1.2283","1.1713","","-2.66%"
"2004-10-01","1.2180","1.2620","1.2757","1.2153","","-3.49%"
"2004-09-01","1.2620","1.3123","1.3169","1.2588","","-3.85%"
"2004-08-01","1.3125","1.3301","1.3346","1.2952","","-1.44%"
"2004-07-01","1.3317","1.3336","1.3386","1.3057","","-0.09%"
"2004-06-01","1.3329","1.3624","1.3815","1.3317","","-2.17%"
"2004-05-01","1.3624","1.3718","1.4004","1.3554","","-0.55%"
"2004-04-01","1.3700","1.3112","1.3797","1.3036","","4.60%"
"2004-03-01","1.3097","1.3355","1.3591","1.3010","","-1.92%"
"2004-02-01","1.3353","1.3249","1.3513","1.3067","","0.82%"
"2004-01-01","1.3245","1.2986","1.3363","1.2679","","2.13%"
"2003-12-01","1.2969","1.2992","1.3422","1.2837","","-0.22%"
"2003-11-01","1.2997","1.3203","1.3434","1.2929","","-1.50%"
"2003-10-01","1.3195","1.3520","1.3527","1.3022","","-2.46%"
"2003-09-01","1.3528","1.3857","1.3982","1.3368","","-2.42%"
"2003-08-01","1.3864","1.4051","1.4165","1.3760","","-1.32%"
"2003-07-01","1.4050","1.3465","1.4196","1.3333","","4.32%"
"2003-06-01","1.3468","1.3721","1.3788","1.3308","","-1.45%"
"2003-05-01","1.3666","1.4297","1.4303","1.3415","","-4.65%"
"2003-04-01","1.4333","1.4676","1.4944","1.4308","","-2.37%"
"2003-03-01","1.4681","1.4831","1.4952","1.4602","","-1.04%"
"2003-02-01","1.4835","1.5209","1.5334","1.4830","","-2.48%"
"2003-01-01","1.5212","1.5755","1.5776","1.5171","","-3.27%"
"2002-12-01","1.5727","1.5630","1.5803","1.5452","","0.50%"
"2002-11-01","1.5649","1.5587","1.5922","1.5506","","0.42%"
"2002-10-01","1.5584","1.5862","1.5993","1.5553","","-1.80%"
"2002-09-01","1.5869","1.5592","1.5917","1.5505","","1.81%"
"2002-08-01","1.5587","1.5841","1.6049","1.5490","","-1.60%"
"2002-07-01","1.5840","1.5175","1.5963","1.5106","","4.29%"
"2002-06-01","1.5188","1.5386","1.5524","1.5029","","-0.93%"
"2002-05-01","1.5330","1.5676","1.5725","1.5259","","-2.22%"
"2002-04-01","1.5678","1.5954","1.6026","1.5605","","-1.74%"
"2002-03-01","1.5955","1.6019","1.6040","1.5738","","-0.37%"
"2002-02-01","1.6015","1.5887","1.6125","1.5855","","0.96%"
"2002-01-01","1.5863","1.5925","1.6193","1.5827","","-0.36%"
"2001-12-01","1.5920","1.5728","1.6055","1.5583","","1.20%"
"2001-11-01","1.5732","1.5892","1.6055","1.5701","","-0.98%"
"2001-10-01","1.5887","1.5788","1.5890","1.5555","","0.59%"
"2001-09-01","1.5794","1.5496","1.5812","1.5459","","1.82%"
"2001-08-01","1.5512","1.5334","1.5520","1.5237","","1.15%"
"2001-07-01","1.5335","1.5139","1.5477","1.5070","","1.24%"
"2001-06-01","1.5147","1.5378","1.5389","1.5103","","-1.53%"
"2001-05-01","1.5383","1.5351","1.5563","1.5273","","0.20%"
"2001-04-01","1.5353","1.5767","1.5827","1.5331","","-2.61%"
"2001-03-01","1.5764","1.5378","1.5796","1.5359","","2.62%"
"2001-02-01","1.5361","1.4983","1.5436","1.4900","","2.52%"
"2001-01-01","1.4984","1.4982","1.5175","1.4901","","-0.03%"
"2000-12-01","1.4988","1.5373","1.5542","1.4947","","-2.47%"
"2000-11-01","1.5367","1.5238","1.5630","1.5215","","0.93%"
"2000-10-01","1.5225","1.5034","1.5327","1.4923","","1.28%"
"2000-09-01","1.5033","1.4718","1.5084","1.4685","","2.11%"
"2000-08-01","1.4722","1.4867","1.4949","1.4709","","-0.95%"
"2000-07-01","1.4863","1.4795","1.4924","1.4630","","0.40%"
"2000-06-01","1.4804","1.4965","1.4973","1.4629","","-1.10%"
