"Date","Price","Open","High","Low","Vol.","Change %"
"2000-08-08","1.4872","1.4868","1.4907","1.4845","","0.01%"
"2000-08-07","1.4870","1.4895","1.4949","1.4860","","-0.14%"
"2000-08-04","1.4891","1.4849","1.4905","1.4835","","0.30%"
"2000-08-03","1.4847","1.4795","1.4859","1.4785","","0.35%"
"2000-08-02","1.4795","1.4867","1.4883","1.4785","","-0.54%"
"2000-08-01","1.4875","1.4867","1.4911","1.4853","","0.08%"
"2000-07-31","1.4863","1.4775","1.4895","1.4775","","0.60%"
"2000-07-28","1.4775","1.4722","1.4786","1.4709","","0.36%"
"2000-07-27","1.4722","1.4651","1.4737","1.4643","","0.48%"
"2000-07-26","1.4651","1.4665","1.4696","1.4640","","-0.08%"
"2000-07-25","1.4663","1.4647","1.4695","1.4640","","0.10%"
"2000-07-24","1.4649","1.4713","1.4727","1.4630","","-0.39%"
"2000-07-21","1.4707","1.4727","1.4751","1.4703","","-0.14%"
"2000-07-20","1.4728","1.4766","1.4800","1.4722","","-0.28%"
"2000-07-19","1.4769","1.4768","1.4780","1.4726","","0.04%"
"2000-07-18","1.4763","1.4819","1.4826","1.4753","","-0.38%"
"2000-07-17","1.4819","1.4841","1.4859","1.4805","","-0.14%"
"2000-07-14","1.4840","1.4812","1.4859","1.4799","","0.16%"
"2000-07-13","1.4817","1.4825","1.4832","1.4798","","-0.05%"
"2000-07-12","1.4825","1.4798","1.4835","1.4776","","0.20%"
"2000-07-11","1.4795","1.4783","1.4811","1.4760","","0.07%"
"2000-07-10","1.4785","1.4812","1.4829","1.4763","","-0.07%"
"2000-07-07","1.4796","1.4854","1.4867","1.4793","","-0.38%"
"2000-07-06","1.4852","1.4890","1.4919","1.4826","","-0.29%"
"2000-07-05","1.4895","1.4865","1.4924","1.4849","","0.29%"
"2000-07-04","1.4852","1.4810","1.4857","1.4795","","0.29%"
"2000-07-03","1.4809","1.4795","1.4817","1.4785","","0.03%"
"2000-06-30","1.4804","1.4830","1.4854","1.4786","","-0.15%"
"2000-06-29","1.4826","1.4780","1.4836","1.4758","","0.28%"
